FIRST_DNAM,FIRST_CHIE,mean_rain,Year,Month
KENEMA,DODO,12.838667,2015,3
KENEMA,GAURA,16.78995,2015,3
KENEMA,GORAMA MENDE,6.772467,2015,3
KENEMA,KANDU LEPPIAMA,18.511204,2015,3
KENEMA,KOYA,12.342578,2015,3
KENEMA,LANGRAMA,3.78934,2015,3
KENEMA,LOWER BAMBARA,16.80427,2015,3
KENEMA,MALEGOHUN,10.591713,2015,3
KENEMA,NIAWA,9.711291,2015,3
KENEMA,NOMO,14.362239,2015,3
KENEMA,NONGOWA,14.168718,2015,3
KENEMA,SIMBARU,6.961471,2015,3
KENEMA,SMALL BO,12.9837885,2015,3
KENEMA,TUNKIA,16.82068,2015,3
KENEMA,WANDOR,7.3782005,2015,3
KENEMA,KENEMA CITY,11.674817,2015,3
KONO,FIAMA,10.050581,2015,3
KONO,GBANE,11.856358,2015,3
KONO,GBANE KANDOR,8.225964,2015,3
KONO,GBENSE,6.6985936,2015,3
KONO,GORAMA KONO,8.628712,2015,3
KONO,KAMARA,10.86012,2015,3
KONO,LEI,16.463058,2015,3
KONO,MAFINDOR,10.222737,2015,3
KONO,NIMIKORO,10.063116,2015,3
KONO,NIMIYAMA,7.299559,2015,3
KONO,SANDOR,12.781689,2015,3
KONO,SOA,13.802336,2015,3
KONO,TANKORO,8.694677,2015,3
KONO,TOLI,8.815096,2015,3
KONO,KOIDU CITY,0.0,2015,3
BOMBALI,BIRIWA,6.078148,2015,3
BOMBALI,BOMBALI SEBORA,2.021261,2015,3
BOMBALI,BOMBALI SIARI,0.90035796,2015,3
BOMBALI,GBANTI,2.5775814,2015,3
BOMBALI,GBENDEMBU,3.4934266,2015,3
BOMBALI,KAMARANKA,3.386559,2015,3
BOMBALI,MAGBAIMBA NDORWAHUN,3.091414,2015,3
BOMBALI,MAKARI,2.807792,2015,3
BOMBALI,MARA,1.8617554,2015,3
BOMBALI,N'GOWAHUN,4.186238,2015,3
BOMBALI,PAKI MASABONG,3.401137,2015,3
BOMBALI,SAFROKO LIMBA,4.50081,2015,3
BOMBALI,MAKENI CITY,0.0,2015,3
FALABA,DELEMANDUGU,5.067605,2015,3
FALABA,DEMBELIA,5.1466217,2015,3
FALABA,DEMBELIA-SINKUNIA,5.4183445,2015,3
FALABA,FOLOSABA,5.353784,2015,3
FALABA,KAMADU YIRAIA,4.8564835,2015,3
FALABA,KEBELIA,4.0145717,2015,3
FALABA,KULOR SARADU,7.147564,2015,3
FALABA,MONGO,5.6934032,2015,3
FALABA,MORIFINDUGU,5.940472,2015,3
FALABA,NEYA,8.533492,2015,3
FALABA,NYEDU,4.2924414,2015,3
FALABA,SULIMA,5.3380284,2015,3
FALABA,WOLLAY BARAWA,5.9717116,2015,3
KOINADUGU,DIANG,7.2088995,2015,3
KOINADUGU,GBONKOBON KAYAKA,6.147753,2015,3
KOINADUGU,KALIAN,7.9431677,2015,3
KOINADUGU,KAMUKEH,5.0726132,2015,3
KOINADUGU,KASUNKO KAKELLIAN,3.4382207,2015,3
KOINADUGU,NIENI,7.000887,2015,3
KOINADUGU,SENGBE,5.0323486,2015,3
KOINADUGU,TAMISO,4.276735,2015,3
KOINADUGU,WARA WARA BAFODIA,7.3865247,2015,3
KOINADUGU,WARA WARA YAGALA,4.6109805,2015,3
TONKOLILI,DANSOGOIA,5.5146,2015,3
TONKOLILI,GBONKOLENKENI/MASANKONG,5.195945,2015,3
TONKOLILI,KAFE,9.65365,2015,3
TONKOLILI,KALANTHUBA,9.820992,2015,3
TONKOLILI,KHOLIFA MABANG,1.6943703,2015,3
TONKOLILI,KHOLIFA MAMUNTHA/MAYOSSO,1.650818,2015,3
TONKOLILI,KHOLIFA ROWALA,3.0206385,2015,3
TONKOLILI,KUNIKE BARINA,8.155604,2015,3
TONKOLILI,KUNIKE FOLAWUSU,5.8586044,2015,3
TONKOLILI,KUNIKE SANDA,9.830867,2015,3
TONKOLILI,MALAL,2.120972,2015,3
TONKOLILI,MAYEPPOH,4.0545206,2015,3
TONKOLILI,POLI,0.9836476,2015,3
TONKOLILI,SAMBAYA,10.717265,2015,3
TONKOLILI,SIMIRIA,7.0705614,2015,3
TONKOLILI,TANE,2.6405694,2015,3
TONKOLILI,YELE,2.8392994,2015,3
TONKOLILI,YONI MABANTA,3.9939435,2015,3
TONKOLILI,YONI MAMAILA,2.3947523,2015,3
KAMBIA,BRAMAIA,2.4944415,2015,3
KAMBIA,DIXON,4.1041546,2015,3
KAMBIA,GBINLE,1.6148407,2015,3
KAMBIA,KHONIMAKA,2.4175649,2015,3
KAMBIA,MAGBEMA,3.3879735,2015,3
KAMBIA,MAMBOLO,4.74887,2015,3
KAMBIA,MASUNGBALA,4.1624603,2015,3
KAMBIA,MUNU THALLAH,2.7802033,2015,3
KAMBIA,SAMU,2.531777,2015,3
KAMBIA,TONKO LIMBA,3.0015316,2015,3
KARENE,BUYA,4.775297,2015,3
KARENE,DIBIA,3.0097408,2015,3
KARENE,GBANTI_KARENE,6.224888,2015,3
KARENE,LIBEISAYGAHUN/GBOMBAHUN,1.7242197,2015,3
KARENE,MAFONDA MAKEREMBAY,3.9383066,2015,3
KARENE,ROMENDE,2.386743,2015,3
KARENE,SAFROKO,2.6447704,2015,3
KARENE,SANDA LOKO,4.51841,2015,3
KARENE,SANDA MAGBOLONTOR,3.7508926,2015,3
KARENE,SANDA TENDARAN,4.6202364,2015,3
KARENE,SELLA LIMBA,3.1760087,2015,3
KARENE,TAMBAKHA SIMIBUNGIE,3.1542914,2015,3
KARENE,TAMBAKHA YOBANGIE,3.7944424,2015,3
